hip,hd,bf,proper,ra,dec,dist,mag,absmag,spect,x,y,z
32349,48915,9Alp CMa,Sirius,6.752481,-16.716116,2.6371,-1.44,1.454,A0m...,-0.494323,2.476731,-0.758485
30438,45348,Alp Car,Canopus,6.399195,-52.69566,94.7867,-0.62,-5.504,F0Ib,-5.992679,57.132034,-75.396105
69673,124897,16Alp Boo,Arcturus,14.26103,19.18241,11.2575,-0.05,-0.307,K2IIIp,-8.823448,-5.932531,3.698938
71683,128620,Alp1Cen,Rigil Kentaurus,14.660765,-60.833976,1.3248,-0.01,4.379,G2V,-0.495203,-0.414084,-1.156625
91262,172167,3Alp Lyr,Vega,18.61564,38.783692,7.6787,0.03,0.604,A0Vvar,0.960565,-5.908009,4.809731
24608,34029,13Alp Aur,Capella,5.27815,45.997991,13.1234,0.08,-0.51,M1: comp,1.712633,8.954439,9.440007
24436,34085,19Bet Ori,Rigel,5.242298,-8.20164,264.5503,0.18,-6.933,B8Ia,51.601106,256.709905,-37.740051
37279,61421,10Alp CMi,Procyon,7.655033,5.224993,3.5142,0.4,2.671,F5IV-V,-1.469312,3.17617,0.320024
7588,10144,Alp Eri,Achernar,1.628556,-57.236757,42.7533,0.45,-2.705,B3Vp,21.065573,9.568417,-35.951967
27989,39801,58Alp Ori,Betelgeuse,5.919529,7.407063,152.6718,0.45,-5.469,M2Ib,3.189296,151.364387,19.682142
68702,122451,Bet Cen,Hadar,14.063729,-60.373039,120.1923,0.61,-4.789,B1III,-50.954051,-30.56287,-104.478695
97649,187642,53Alp Aql,Altair,19.846388,8.868322,5.1295,0.76,2.21,A7IV-V,2.355468,-4.4873,0.790749
60718,108248,Alp1Cru,Acrux,12.443311,-63.099092,98.7167,0.77,-4.202,B0.5IV,-44.363755,-5.171957,-88.034513
21421,29139,87Alp Tau,Aldebaran,4.598677,16.509301,20.4332,0.87,-0.682,K5III,7.02722,18.287604,5.806661
65474,116658,67Alp Vir,Spica,13.419883,-11.161322,76.5697,0.98,-3.44,B1V,-69.990853,-27.285826,-14.82176
80763,148478,21Alp Sco,Antares,16.490128,-26.432002,169.7793,1.06,-5.089,M1Ib + B2.5V,-58.542602,-140.307591,-75.574766
37826,62509,78Bet Gem,Pollux,7.755277,28.026199,10.3584,1.16,1.084,K0IIIvar,-4.055465,8.19518,4.867171
113368,216956,24Alp PsA,Fomalhaut,22.960838,-29.622236,7.7036,1.17,1.737,A3V,6.450517,-1.799476,-3.807757
62434,111123,Bet Cru,Becrux,12.795359,-59.688764,85.3971,1.25,-3.407,B0.5III,-42.168771,-8.909619,-73.723149
102098,197345,50Alp Cyg,Deneb,20.690532,45.280338,432.9004,1.25,-6.932,A2Ia,197.250632,-232.113407,307.600832
71681,128621,Alp2Cen,,14.660346,-60.8383,1.3248,1.35,5.739,K1V,-0.495181,-0.413973,-1.156674
49669,87901,32Alp Leo,Regulus,10.139532,11.967207,24.3132,1.36,-0.569,B7V,-21.018857,11.132218,5.041397
33579,52089,21Eps CMa,Adhara,6.977097,-28.972084,124.2236,1.5,-3.971,B2II,-27.497987,105.141608,-60.171969
